,metadata,Journal,PubDate,Title,clean name,confirmed name,Sex,last name,first name
3047,"Binmore, Kg",EJ,1985,EQUILIBRIA IN EXTENSIVE GAMES, Kg Binmore,,,Binmore, Kg
3048,"Moore, Mj",EJ,1985,DEMAND MANAGEMENT WITH RATIONING, Mj Moore,,,Moore, Mj
3049,"Foremanpeck, J",EJ,1985,THE COMPARATIVE EFFICIENCY OF PUBLIC AND PRIVATE ENTERPRISE IN BRITAIN -, J Foremanpeck,,,Foremanpeck, J
3050,"Grout, Pa",EJ,1985,A THEORETICAL APPROACH TO THE EFFECT OF TRADE UNION IMMUNITIES ON, Pa Grout,,,Grout, Pa
3051,"Vonhohenbalken, B",EJ,1985,TESTS OF INTRAURBAN CENTRAL PLACE THEORIES, B Vonhohenbalken,?,?,Vonhohenbalken, B
3052,"Kroner, K",EJ,1985,TESTS OF INTRAURBAN CENTRAL PLACE THEORIES, K Kroner,,,Kroner, K
3053,"Harris, C",EJ,1985,AN ALTERNATIVE SOLUTION TO RUBINSTEIN MODEL OF SEQUENTIAL BARGAINING, C Harris,?,?,Harris, C
3054,"Cable, J",EJ,1985,CAPITAL-MARKET INFORMATION AND INDUSTRIAL-PERFORMANCE - THE ROLE OF, J Cable,,,Cable, J
3055,"Salmon, M",EJ,1985,DYNAMIC-GAMES AND THE TIME INCONSISTENCY OF OPTIMAL POLICY IN OPEN, M Salmon,,,Salmon, M
3056,"Vickers, J",EJ,1985,DELEGATION AND THE THEORY OF THE FIRM, J Vickers,,,Vickers, J
3057,"Campbell, Hf",EJ,1985,A MODEL OF MINERAL EXPLORATION AND RESOURCE TAXATION, Hf Campbell,?,?,Campbell, Hf
3058,"Lindner, Rk",EJ,1985,A MODEL OF MINERAL EXPLORATION AND RESOURCE TAXATION, Rk Lindner,,,Lindner, Rk
3059,"Christofides, Ln",EJ,1985,THE IMPACT OF CONTROLS ON WAGE CONTRACT DURATION, Ln Christofides,,,Christofides, Ln
3060,"Greenhut, Ml",EJ,1985,AN ANOMALY IN THE SERVICE INDUSTRY - THE EFFECT OF ENTRY ON FEES, Ml Greenhut,,,Greenhut, Ml
3061,"Hung, Cs",EJ,1985,AN ANOMALY IN THE SERVICE INDUSTRY - THE EFFECT OF ENTRY ON FEES, Cs Hung,?,?,Hung, Cs
3062,"Narendranathan, W",EJ,1985,UNEMPLOYMENT BENEFITS REVISITED, W Narendranathan,,,Narendranathan, W
3063,"Stern, J",EJ,1985,UNEMPLOYMENT BENEFITS REVISITED, J Stern,,,Stern, J
3064,"Evans, G",EJ,1985,BOTTLENECKS AND THE PHILLIPS-CURVE - A DISAGGREGATED KEYNESIAN MODEL OF, G Evans,?,?,Evans, G
3065,"Round, Ji",EJ,1985,DECOMPOSING MULTIPLIERS FOR ECONOMIC-SYSTEMS INVOLVING REGIONAL AND, Ji Round,,,Round, Ji
3066,"Costabile, L",EJ,1985,MALTHUS THEORY OF WAGES AND GROWTH, L Costabile,,,Costabile, L
3067,"Truong, Tp",EJ,1985,MEASUREMENT OF TRAVEL TIME VALUES AND OPPORTUNITY COST FROM A, Tp Truong,,,Truong, Tp
3068,"Schor, Jb",EJ,1985,CHANGES IN THE CYCLICAL PATTERN OF REAL WAGES - EVIDENCE FROM 9, Jb Schor,,,Schor, Jb
3069,"Machina, Mj",EJ,1985,STOCHASTIC CHOICE FUNCTIONS GENERATED FROM DETERMINISTIC PREFERENCES, Mj Machina,,,Machina, Mj
3070,"Gilbert, Cl",EJ,1985,FUTURES TRADING AND THE WELFARE EVALUATION OF COMMODITY PRICE, Cl Gilbert,?,?,Gilbert, Cl
3071,"Tzannatos, Z",EJ,1985,THE EFFECT OF BRITAINS ANTI-DISCRIMINATORY LEGISLATION ON RELATIVE PAY, Z Tzannatos,,,Tzannatos, Z
3072,"Hart, Ra",EJ,1985,"HOURS, LAYOFFS AND UNEMPLOYMENT-INSURANCE FUNDING - THEORY AND PRACTICE", Ra Hart,,,Hart, Ra
3073,"Butler, Rj",EJ,1985,WORK INJURY COMPENSATION AND THE DURATION OF NONWORK SPELLS, Rj Butler,,,Butler, Rj
3074,"Worrall, Jd",EJ,1985,WORK INJURY COMPENSATION AND THE DURATION OF NONWORK SPELLS, Jd Worrall,,,Worrall, Jd
3075,"Watson, Mw",EJ,1985,BANK RATE POLICY UNDER THE INTERWAR GOLD STANDARD - A DYNAMIC PROBIT, Mw Watson,,,Watson, Mw
3076,"Grossman, Rs",EJ,1985,BANK RATE POLICY UNDER THE INTERWAR GOLD STANDARD - A DYNAMIC PROBIT, Rs Grossman,,,Grossman, Rs
3077,"Steedman, I",EJ,1985,ON THE IMPOSSIBILITY OF HICKS-NEUTRAL TECHNICAL CHANGE, I Steedman,,,Steedman, I
3078,"Pieper, Pj",AER,1984,A NEW VIEW OF THE FEDERAL DEBT AND BUDGET DEFICITS, Pj Pieper,,,Pieper, Pj
3079,"Raymond, Je",AER,1984,A PROFILE OF SENIOR ECONOMICS MAJORS IN THE UNITED-STATES, Je Raymond,,,Raymond, Je
3080,"Cohen, Md",AER,1984,COPING WITH COMPLEXITY - THE ADAPTIVE VALUE OF CHANGING UTILITY, Md Cohen,,,Cohen, Md
3081,"Axelrod, R",AER,1984,COPING WITH COMPLEXITY - THE ADAPTIVE VALUE OF CHANGING UTILITY, R Axelrod,,,Axelrod, R
3082,"Sweeney, Jl",AER,1984,THE RESPONSE OF ENERGY DEMAND TO HIGHER PRICES - WHAT HAVE WE LEARNED, Jl Sweeney,,,Sweeney, Jl
3083,"Field, Aj",AER,1984,"ASSET EXCHANGES AND THE TRANSACTIONS DEMAND FOR MONEY, 1919-29", Aj Field,?,?,Field, Aj
3084,"Campbell, Jy",AER,1984,A SIMPLE ACCOUNT OF THE BEHAVIOR OF LONG-TERM INTEREST-RATES, Jy Campbell,,,Campbell, Jy
3085,"Roley, Vv",AER,1984,UNANTICIPATED MONEY AND INTEREST-RATES, Vv Roley,,,Roley, Vv
3086,"Walsh, Ce",AER,1984,UNANTICIPATED MONEY AND INTEREST-RATES, Ce Walsh,?,?,Walsh, Ce
3087,"Anderson, R",AER,1984,INTERACTION BETWEEN FISCAL AND MONETARY-POLICY AND THE REAL RATE OF, R Anderson,,,Anderson, R
3088,"Enzler, J",AER,1984,INTERACTION BETWEEN FISCAL AND MONETARY-POLICY AND THE REAL RATE OF, J Enzler,,,Enzler, J
3089,"Flaherty, Mt",AER,1984,FIELD-RESEARCH ON THE LINK BETWEEN TECHNOLOGICAL INNOVATION AND GROWTH -, Mt Flaherty,,,Flaherty, Mt
3090,"Marshall, Jm",AER,1984,GAMBLES AND THE SHADOW PRICE OF DEATH, Jm Marshall,,,Marshall, Jm
3091,"Mckelvey, Mj",AER,1984,PRICE EXPECTATIONS OF BUSINESS FIRMS - BIAS IN THE SHORT AND LONG RUN, Mj Mckelvey,,,Mckelvey, Mj
3092,"Ashenfelter, O",AER,1984,MODELS OF ARBITRATOR BEHAVIOR - THEORY AND EVIDENCE, O Ashenfelter,,,Ashenfelter, O
3093,"Harris, Rg",AER,1984,THE VALUES OF ECONOMIC-THEORY IN MANAGEMENT EDUCATION, Rg Harris,,,Harris, Rg
3094,"Sah, Rk",AER,1984,THE ECONOMICS OF PRICE SCISSORS, Rk Sah,,,Sah, Rk
3095,"Schwab, Rm",AER,1984,REGIONAL PRODUCTIVITY GROWTH IN UNITED-STATES MANUFACTURING - 1951-78, Rm Schwab,,,Schwab, Rm
3096,"Kahn, Ga",AER,1984,"INTERNATIONAL DIFFERENCES IN WAGE BEHAVIOR - REAL, NOMINAL, OR", Ga Kahn,?,?,Kahn, Ga
3097,"Peterson, Ge",AER,1984,"THE PUBLIC CAPITAL STOCK - NEEDS, TRENDS, AND PERFORMANCE", Ge Peterson,?,?,Peterson, Ge
3098,"Jondrow, J",AER,1984,THE DISPLACEMENT OF LOCAL SPENDING FOR POLLUTION-CONTROL BY FEDERAL, J Jondrow,,,Jondrow, J
3099,"Levy, Ra",AER,1984,THE DISPLACEMENT OF LOCAL SPENDING FOR POLLUTION-CONTROL BY FEDERAL, Ra Levy,,,Levy, Ra
3100,"Mccloskey, Dn",AER,1984,CORN AT INTEREST - THE EXTENT AND COST OF GRAIN STORAGE IN MEDIEVAL, Dn Mccloskey,?,?,Mccloskey, Dn
3101,"Nash, J",AER,1984,CORN AT INTEREST - THE EXTENT AND COST OF GRAIN STORAGE IN MEDIEVAL, J Nash,,,Nash, J
3102,"Leroy, Sf",AER,1984,EFFICIENCY AND THE VARIABILITY OF ASSET PRICES, Sf Leroy,,,Leroy, Sf
3103,"Kwoka, Je",AER,1984,ADVERTISING AND THE PRICE AND QUALITY OF OPTOMETRIC SERVICES, Je Kwoka,,,Kwoka, Je
3104,"Haynes, Se",AER,1984,A CRITICAL-APPRAISAL OF MCKINNON WORLD MONEY SUPPLY HYPOTHESIS, Se Haynes,,,Haynes, Se
3105,"Davis, P",AER,1984,FACULTY RATINGS OF MAJOR ECONOMICS DEPARTMENTS BY CITATIONS, P Davis,,,Davis, P
3106,"Smith, Vk",AER,1984,"ECONOMIC-GROWTH, RESOURCE AVAILABILITY, AND ENVIRONMENTAL-QUALITY", Vk Smith,,,Smith, Vk
3107,"Ruud, P",AER,1984,FAMILY LABOR SUPPLY WITH TAXES, P Ruud,,,Ruud, P
3108,"Burggraf, Sp",AER,1984,WOMEN YOUTH AND MINORITIES AND THE CASE OF THE MISSING PRODUCTIVITY, Sp Burggraf,,,Burggraf, Sp
3109,"Spaeth, Jl",AER,1984,WORK CHARACTERISTICS AND THE MALE-FEMALE EARNINGS GAP, Jl Spaeth,,,Spaeth, Jl
3110,"Thompson, Ts",AER,1984,RESPONDING TO TRADE-DISTORTING POLICIES OF OTHER COUNTRIES, Ts Thompson,,,Thompson, Ts
3111,"Jackson, Jh",AER,1984,PERSPECTIVES ON THE JURISPRUDENCE OF INTERNATIONAL-TRADE, Jh Jackson,,,Jackson, Jh
3112,"Kalt, Jp",AER,1984,CAPTURE AND IDEOLOGY IN THE ECONOMIC-THEORY OF POLITICS, Jp Kalt,,,Kalt, Jp
3113,"Goldstein, Jl",AER,1984,UNFAIR TRADE PRACTICES - THE CASE FOR A DIFFERENTIAL RESPONSE, Jl Goldstein,,,Goldstein, Jl
3114,"Krasner, Sd",AER,1984,UNFAIR TRADE PRACTICES - THE CASE FOR A DIFFERENTIAL RESPONSE, Sd Krasner,,,Krasner, Sd
3115,"Phillips, L",AER,1984,"BLACK-WOMEN, ECONOMIC DISADVANTAGE, AND INCENTIVES TO CRIME", L Phillips,,,Phillips, L
3116,"Votey, Hl",AER,1984,"BLACK-WOMEN, ECONOMIC DISADVANTAGE, AND INCENTIVES TO CRIME", Hl Votey,?,?,Votey, Hl
3117,"Whitman, Mv",AER,1984,ASSESSING GREATER VARIABILITY OF EXCHANGE-RATES - A PRIVATE SECTOR, Mv Whitman,,,Whitman, Mv
3118,"Shafer, Jr",AER,1984,STABILIZATION-POLICIES IN OPEN ECONOMIES, Jr Shafer,,,Shafer, Jr
3119,"Koromzay, V",AER,1984,EXCHANGE-RATES AND POLICY CHOICES - SOME LESSONS FROM INTERDEPENDENCE IN, V Koromzay,,,Koromzay, V
3120,"Llewellyn, J",AER,1984,EXCHANGE-RATES AND POLICY CHOICES - SOME LESSONS FROM INTERDEPENDENCE IN, J Llewellyn,,,Llewellyn, J
3121,"Potter, S",AER,1984,EXCHANGE-RATES AND POLICY CHOICES - SOME LESSONS FROM INTERDEPENDENCE IN, S Potter,,,Potter, S
3122,"Brander, Ja",AER,1984,PRODUCT LINE RIVALRY, Ja Brander,,,Brander, Ja
3123,"Crandall, Rw",AER,1984,AUTOMOBILE SAFETY REGULATION AND OFFSETTING BEHAVIOR - SOME NEW, Rw Crandall,,,Crandall, Rw
3124,"Graham, Jd",AER,1984,AUTOMOBILE SAFETY REGULATION AND OFFSETTING BEHAVIOR - SOME NEW, Jd Graham,,,Graham, Jd
3125,"King, Rg",AER,1984,"MONEY, CREDIT, AND PRICES IN A REAL BUSINESS-CYCLE", Rg King,,,King, Rg
3126,"Hilke, Jc",AER,1984,NOISY ADVERTISING AND THE PREDATION RULE IN ANTITRUST ANALYSIS, Jc Hilke,,,Hilke, Jc
3127,"Nelson, Pb",AER,1984,NOISY ADVERTISING AND THE PREDATION RULE IN ANTITRUST ANALYSIS, Pb Nelson,,,Nelson, Pb
3128,"Dansby, Re",AER,1984,COMMODITY BUNDLING, Re Dansby,,,Dansby, Re
3129,"Conrad, C",AER,1984,COMMODITY BUNDLING, C Conrad,?,?,Conrad, C
3130,"Pierce, Jl",AER,1984,DID FINANCIAL INNOVATION HURT THE GREAT MONETARIST EXPERIMENT, Jl Pierce,,,Pierce, Jl
3131,"Tandon, P",AER,1984,"INNOVATION, MARKET-STRUCTURE, AND WELFARE", P Tandon,,,Tandon, P
3132,"Perry, Gl",AER,1984,REFLECTIONS ON MACROECONOMICS, Gl Perry,?,?,Perry, Gl
3133,"Feigenbaum, B",AER,1984,RATIONING BY WAITING LISTS, B Feigenbaum,?,?,Feigenbaum, B
3134,"Kaufman, Rt",AER,1984,THE EFFECTS OF EXPECTATIONS ON UNION WAGES, Rt Kaufman,,,Kaufman, Rt
3135,"Alston, Lj",AER,1984,FARM FORECLOSURE MORATORIUM LEGISLATION - A LESSON FROM THE PAST, Lj Alston,,,Alston, Lj
3136,"Gapinski, Jh",AER,1984,THE ECONOMICS OF PERFORMING SHAKESPEARE, Jh Gapinski,,,Gapinski, Jh
3137,"Lave, Lb",AER,1984,CONTROLLING CONTRADICTIONS AMONG REGULATIONS, Lb Lave,,,Lave, Lb
3138,"Frank, Rh",AER,1984,ARE WORKERS PAID THEIR MARGINAL PRODUCTS, Rh Frank,,,Frank, Rh
3139,"Evans, Ds",AER,1984,A TEST FOR SUBADDITIVITY OF THE COST FUNCTION WITH AN APPLICATION TO THE, Ds Evans,?,?,Evans, Ds
3140,"Alberts, Ww",AER,1984,DO OLIGOPOLISTS EARN NONCOMPETITIVE RATES OF RETURN, Ww Alberts,,,Alberts, Ww
3141,"Faith, Rl",AER,1984,MANAGERIAL RENTS AND OUTSIDE RECRUITMENT IN THE COASIAN FIRM, Rl Faith,,,Faith, Rl
3142,"Higgins, Rs",AER,1984,MANAGERIAL RENTS AND OUTSIDE RECRUITMENT IN THE COASIAN FIRM, Rs Higgins,,,Higgins, Rs
3143,"Plant, Mw",AER,1984,AN EMPIRICAL-ANALYSIS OF WELFARE DEPENDENCE, Mw Plant,,,Plant, Mw
3144,"White, Lh",AER,1984,COMPETITIVE PAYMENTS SYSTEMS AND THE UNIT OF ACCOUNT, Lh White,,,White, Lh
3145,"Lindley, Jt",AER,1984,RACIAL-DISCRIMINATION IN THE PROVISION OF FINANCIAL SERVICES, Jt Lindley,,,Lindley, Jt
3146,"Selby, Eb",AER,1984,RACIAL-DISCRIMINATION IN THE PROVISION OF FINANCIAL SERVICES, Eb Selby,?,?,Selby, Eb
3147,"Jackson, Jd",AER,1984,RACIAL-DISCRIMINATION IN THE PROVISION OF FINANCIAL SERVICES, Jd Jackson,,,Jackson, Jd
3148,"Margo, Ra",AER,1984,ACCUMULATION OF PROPERTY BY SOUTHERN BLACKS BEFORE WORLD-WAR-I - COMMENT, Ra Margo,,,Margo, Ra
3149,"Hogan, Td",AER,1984,ECONOMICS DEPARTMENTAL RANKINGS - COMMENT, Td Hogan,,,Hogan, Td
3150,"Clark, Kb",AER,1984,"UNIONIZATION AND FIRM PERFORMANCE - THE IMPACT ON PROFITS, GROWTH, AND", Kb Clark,,,Clark, Kb
3151,"Farmer, Rea",AER,1984,A NEW THEORY OF AGGREGATE SUPPLY, Rea Farmer,,,Farmer, Rea
3152,"Gallini, Nt",AER,1984,DETERRENCE BY MARKET SHARING - A STRATEGIC INCENTIVE FOR LICENSING, Nt Gallini,,,Gallini, Nt
3153,"Hunt, Gl",AER,1984,MIGRATION AND INTERREGIONAL EMPLOYMENT REDISTRIBUTION IN THE, Gl Hunt,?,?,Hunt, Gl
3154,"Pommerehne, Ww",AER,1984,CONSENSUS AND DISSENSION AMONG ECONOMISTS - AN EMPIRICAL INQUIRY, Ww Pommerehne,,,Pommerehne, Ww
3155,"Gilbert, G",AER,1984,CONSENSUS AND DISSENSION AMONG ECONOMISTS - AN EMPIRICAL INQUIRY, G Gilbert,?,?,Gilbert, G
3156,"Harris, R",AER,1984,APPLIED GENERAL EQUILIBRIUM-ANALYSIS OF SMALL OPEN ECONOMIES WITH SCALE, R Harris,,,Harris, R
3157,"Smirlock, M",AER,1984,TOBIN-Q AND THE STRUCTURE-PERFORMANCE RELATIONSHIP, M Smirlock,,,Smirlock, M
3158,"Gilligan, T",AER,1984,TOBIN-Q AND THE STRUCTURE-PERFORMANCE RELATIONSHIP, T Gilligan,,,Gilligan, T
3159,"Marshall, W",AER,1984,TOBIN-Q AND THE STRUCTURE-PERFORMANCE RELATIONSHIP, W Marshall,,,Marshall, W
3160,"Diamond, P",ECA,1984,MONEY IN SEARCH EQUILIBRIUM, P Diamond,,,Diamond, P
3161,"Mark, Nc",EJ,1998,Rethinking deviations from uncovered interest parity: The role of, Nc Mark,,,Mark, Nc
3162,"Wu, Yr",EJ,1998,Rethinking deviations from uncovered interest parity: The role of, Yr Wu,,,Wu, Yr
3163,"Instefjord, N",EJ,1998,Financial innovation and delegation of control, N Instefjord,,,Instefjord, N
3164,"Albaek, K",EJ,1998,"Worker flows and job flows in Danish manufacturing, 1980-91", K Albaek,,,Albaek, K
3165,"Artis, M",EJ,1998,Inflation targeting: What can the ECB learn from the recent experience, M Artis,,,Artis, M
3166,"Kontolemis, Z",EJ,1998,Inflation targeting: What can the ECB learn from the recent experience, Z Kontolemis,,,Kontolemis, Z
3167,"Palmon, G",JPE,1998,New evidence on property tax capitalization, G Palmon,?,?,Palmon, G
3168,"Joskow, Pl",AER,1998,The market for sulfur dioxide emissions, Pl Joskow,,,Joskow, Pl
3169,"Bailey, Em",AER,1998,The market for sulfur dioxide emissions, Em Bailey,?,?,Bailey, Em
3170,"Mendelsohn, R",AER,1998,Valuing the impact of large-scale ecological change in a market: The, R Mendelsohn,,,Mendelsohn, R
3171,"Hallock, Kf",AER,1998,"Layoffs, top executive pay, and firm performance", Kf Hallock,,,Hallock, Kf
3172,"Zemsky, P",AER,1998,Multidimensional uncertainty and herd behavior in financial markets, P Zemsky,,,Zemsky, P
3173,"Imrohoroglu, S",AER,1998,The effect of tax-favored retirement accounts on capital accumulation, S Imrohoroglu,,,Imrohoroglu, S
3174,"Tanner, S",AER,1998,Is there a retirement-savings puzzle?, S Tanner,,,Tanner, S
3175,"Murray, Se",AER,1998,Education-finance reform and the distribution of education resources, Se Murray,,,Murray, Se
3176,"Evans, Wn",AER,1998,Education-finance reform and the distribution of education resources, Wn Evans,,,Evans, Wn
3177,"Fernandez, R",AER,1998,Public education and income distribution: A dynamic quantitative, R Fernandez,,,Fernandez, R
3178,"Rogerson, R",AER,1998,Public education and income distribution: A dynamic quantitative, R Rogerson,,,Rogerson, R
3179,"Osborne, Mj",AER,1998,Games with procedurally rational players, Mj Osborne,,,Osborne, Mj
3180,"Chiu, Ys",AER,1998,"Noncooperative bargaining, hostages, and optimal asset ownership", Ys Chiu,,,Chiu, Ys
3181,"Whinston, Md",AER,1998,Incomplete contracts and strategic ambiguity, Md Whinston,,,Whinston, Md
3182,"Ho, Th",AER,1998,"Iterated dominance and iterated best response in experimental ""p-beauty", Th Ho,,,Ho, Th
3183,"Weigelt, K",AER,1998,"Iterated dominance and iterated best response in experimental ""p-beauty", K Weigelt,,,Weigelt, K
3184,"Durham, Y",AER,1998,Do the rich get richer and the poor poorer? Experimental tests of a, Y Durham,,,Durham, Y
3185,"Bui, Ltm",AER,1998,Gains from trade and strategic interaction: Equilibrium acid rain, Ltm Bui,,,Bui, Ltm
3186,"Chapman, Da",ECA,1998,Habit formation and aggregate consumption, Da Chapman,?,?,Chapman, Da
3187,"Dagan, N",ECA,1998,"Comment on McLennan and Sonnenschein ""Sequential bargaining as a", N Dagan,,,Dagan, N
3188,"Serrano, R",ECA,1998,"Comment on McLennan and Sonnenschein ""Sequential bargaining as a", R Serrano,,,Serrano, R
3189,"Volij, O",ECA,1998,"Comment on McLennan and Sonnenschein ""Sequential bargaining as a", O Volij,,,Volij, O
3190,"Proulx, C",EJ,1998,Hard bargains and lost opportunities, C Proulx,?,?,Proulx, C
3191,"Samuelson, L",EJ,1998,Hard bargains and lost opportunities, L Samuelson,,,Samuelson, L
3192,"Swierzbinski, J",EJ,1998,Hard bargains and lost opportunities, J Swierzbinski,,,Swierzbinski, J
3193,"Verdier, T",EJ,1998,"Property rights, corruption and the allocation of talent: A general", T Verdier,,,Verdier, T
3194,"Van Ours, Jc",EJ,1998,On the detection of state dependence using aggregate outflow data:, Jc Van Ours,,,Van Ours, Jc
3195,"Desai, M",EJ,1998,Richard Goodwin: A short appreciation, M Desai,,,Desai, M
3196,"Ormerod, P",EJ,1998,Richard Goodwin: A short appreciation, P Ormerod,,,Ormerod, P
3197,"Slaughter, Mj",EJ,1998,"International trade and labour-market outcomes: Results, questions, and", Mj Slaughter,,,Slaughter, Mj
3198,"Wood, A",EJ,1998,Globalisation and the rise in labour market inequalities, A Wood,?,?,Wood, A
3199,"Francois, Jf",EJ,1998,"Trade, technology, and wages: General equilibrium mechanics", Jf Francois,,,Francois, Jf
3200,"Wright, Pw",EJ,1998,"Trade with low wage economics, employment and productivity in UK", Pw Wright,,,Wright, Pw
3201,"Ocampo, Ja",EJ,1998,Trade liberalisation in developing economies: Modest benefits but, Ja Ocampo,,,Ocampo, Ja
3202,"Morgan, W",EJ,1998,"Trade reform, adjustment and growth: What does the evidence tell us?", W Morgan,,,Morgan, W
3203,"Wright, P",EJ,1998,"Trade reform, adjustment and growth: What does the evidence tell us?", P Wright,,,Wright, P
3204,"Campa, Jm",EJ,1998,ERM realignment risk and its economic determinants as reflected in, Jm Campa,,,Campa, Jm
3205,"Holland, A",EJ,1998,The determinants of UK business cycles, A Holland,?,?,Holland, A
3206,"Anderson, Je",EJ,1998,Trade restrictiveness benchmarks, Je Anderson,,,Anderson, Je
3207,"Bagwell, K",EJ,1998,Will preferential agreements undermine the multilateral trading system, K Bagwell,,,Bagwell, K
3208,"Staiger, Rw",EJ,1998,Will preferential agreements undermine the multilateral trading system, Rw Staiger,,,Staiger, Rw
3209,"Merton, Rc",AER,1998,Applications of option-pricing theory: Twenty-five years later, Rc Merton,,,Merton, Rc
3210,"Scholes, Ms",AER,1998,Derivatives in a dynamic environment, Ms Scholes,,,Scholes, Ms
3211,"Li, H",AER,1998,Unraveling in matching markets, H Li,?,?,Li, H
3212,"Van, Ph",AER,1998,The economics of child labor, Ph Van,,,Van, Ph
3213,"Gu, Wl",AER,1998,A theory of holdouts in wage bargaining, Wl Gu,,,Gu, Wl
3214,"Kuhn, P",AER,1998,A theory of holdouts in wage bargaining, P Kuhn,,,Kuhn, P
3215,"Angrist, Jd",AER,1998,Children and their parents' labor supply: Evidence from exogenous, Jd Angrist,,,Angrist, Jd
3216,"Honkapohja, S",AER,1998,Growth cycles, S Honkapohja,,,Honkapohja, S
3217,"Romer, P",AER,1998,Growth cycles, P Romer,,,Romer, P
3218,"Zervos, S",AER,1998,"Stock markets, banks, and economic growth", S Zervos,,,Zervos, S
3219,"Rajan, Rg",AER,1998,Financial dependence and growth, Rg Rajan,,,Rajan, Rg
3220,"Zingales, L",AER,1998,Financial dependence and growth, L Zingales,,,Zingales, L
3221,"Friedberg, L",AER,1998,Did unilateral divorce raise divorce rates? Evidence from panel data, L Friedberg,,,Friedberg, L
3222,"Gray, Js",AER,1998,"Divorce-law changes, household bargaining, and married women's labor", Js Gray,,,Gray, Js
3223,"Che, Yk",AER,1998,Caps on political lobbying, Yk Che,,,Che, Yk
3224,"Gale, Il",AER,1998,Caps on political lobbying, Il Gale,,,Gale, Il
3225,"Pecorino, P",AER,1998,"Is there a free-rider problem in lobbying? Endogenous tariffs, trigger", P Pecorino,,,Pecorino, P
3226,"Mckenzie, Lw",AER,1998,Turnpikes, Lw Mckenzie,,,Mckenzie, Lw
3227,"Lenoir, T",AER,1998,Revolution from above: The role of the state in creating the German, T Lenoir,,,Lenoir, T
3228,"Lecuyer, C",AER,1998,Academic science and technology in the service of industry: MIT creates, C Lecuyer,?,?,Lecuyer, C
3229,"Blumenthal, Ms",AER,1998,Federal government initiatives and the foundations of the information, Ms Blumenthal,,,Blumenthal, Ms
3230,"Davis, L",AER,1998,Micro rules and macro outcomes: The impact of micro structure on the, L Davis,,,Davis, L
3231,"Neal, L",AER,1998,Micro rules and macro outcomes: The impact of micro structure on the, L Neal,,,Neal, L
3232,"Hannah, L",AER,1998,Survival and size mobility among the world's largest 100 industrial, L Hannah,,,Hannah, L
3233,"Lamoreaux, Nr",AER,1998,"Partnerships, corporations, and the theory of the firm", Nr Lamoreaux,,,Lamoreaux, Nr
3234,"Coase, R",AER,1998,The new institutional economics, R Coase,,,Coase, R
3235,"Nee, V",AER,1998,Norms and networks in economic and organizational performance, V Nee,,,Nee, V
3236,"Richardson, E",AER,1998,The value of health: 1970-1990, E Richardson,?,?,Richardson, E
3237,"Manton, Kg",AER,1998,Economic effects of reducing disability, Kg Manton,,,Manton, Kg
3238,"Stallard, E",AER,1998,Economic effects of reducing disability, E Stallard,?,?,Stallard, E
3239,"Corder, L",AER,1998,Economic effects of reducing disability, L Corder,,,Corder, L
3240,"Frank, Rg",AER,1998,Measuring prices and quantities of treatment for depression, Rg Frank,,,Frank, Rg
3241,"Busch, Sh",AER,1998,Measuring prices and quantities of treatment for depression, Sh Busch,,,Busch, Sh
3242,"Hellerstein, Jk",AER,1998,"Public funds, private funds, and medical innovation: How managed care", Jk Hellerstein,,,Hellerstein, Jk
3243,"Eichner, Mj",AER,1998,The demand for medical care: What people pay does matter, Mj Eichner,,,Eichner, Mj
3244,"Glied, S",AER,1998,"Payment heterogeneity, physician practice, and access to care", S Glied,,,Glied, S
3245,"Smetters, Ka",AER,1998,Social security: Privatization and progressivity, Ka Smetters,,,Smetters, Ka
3246,"Walliser, J",AER,1998,Social security: Privatization and progressivity, J Walliser,,,Walliser, J
3247,"Zhong, Jg",AER,1998,Social security and the real economy: An inquiry into some neglected, Jg Zhong,,,Zhong, Jg
3248,"De Vos, K",AER,1998,Social security and labor-force participation in the Netherlands, K De Vos,,,De Vos, K
3249,"Schnabel, R",AER,1998,Social security and declining labor-force participation in Germany, R Schnabel,,,Schnabel, R
3250,"Honig, M",AER,1998,Married women's retirement expectations: Do pensions and social security, M Honig,,,Honig, M
3251,"Papke, Le",AER,1998,How are participants investing their accounts in participant - Directed, Le Papke,,,Papke, Le
3252,"Wimmer, Lt",AER,1998,Aging in the early 20th century, Lt Wimmer,,,Wimmer, Lt
3253,"Wilson, Se",AER,1998,Secular trends in the determinants of disability benefits, Se Wilson,,,Wilson, Se
3254,"Nguyen, Ll",AER,1998,Secular trends in the determinants of disability benefits, Ll Nguyen,,,Nguyen, Ll
3255,"Tuljapurkar, S",AER,1998,Uncertain demographic futures and social security finances, S Tuljapurkar,,,Tuljapurkar, S
3256,"Vaupel, Jw",AER,1998,Demographic analysis of aging and longevity, Jw Vaupel,,,Vaupel, Jw
3257,"Smeeding, Tm",AER,1998,Generations and the distribution of economic well-being: A, Tm Smeeding,,,Smeeding, Tm
3258,"Falk, I",AER,1998,"Transfers, empathy formation, and reverse transfers", I Falk,?,?,Falk, I
3259,"Harbaugh, Wt",AER,1998,The prestige motive for making charitable transfers, Wt Harbaugh,,,Harbaugh, Wt
3260,"Judd, Kl",AER,1998,"Taxes, uncertainty, and human capital", Kl Judd,,,Judd, Kl
3261,"Warlick, Jl",AER,1998,Alternative historical trends in poverty, Jl Warlick,,,Warlick, Jl
