,citation_author,citation_author_institution,citation_publication_date,citation_title,dc.description,dc.publisher,dc.subject,dc.type,url,accesses,citations
0,Alain Desdoigts,"EPEE, Université d'Evry-Val d'Essonne, Evry, France",1999/09,Patterns of Economic Development and the Formation of Clubs,"This study investigates the sources of heterogeneity across a worldwide set of countries. Unspecified ex ante and unanticipated cultural (Protestant versus Catholic), geographical (continents), and institutional (OECD versus non-OECD) clubs emerge endogenously and naturally as homogeneous classes on the basis of their economic structure. The dynamics both within and across the identified groups of countries are consistent with multiple equilibrium-growth models proposed by, for instance, Azariadis and Drazen (1990), therefore strengthening the viability of the convergence club hypothesis. In particular, higher stages of development are, on average, non linearly associated with higher stages of growth.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009858603947,    367 ,   76 
0,Olivier F. Morand,"Department of Economics, U-63, University of Connecticut, Storrs",1999/09,"Endogenous Fertility, Income Distribution, and Growth","This article analyzes the interaction between growth and fertility via income distribution in a model in which fertility decisions are motivated by old-age support. It provides an explanation of the demographic transition of an economy from a stage of increasing fertility and low growth to a stage of low fertility, high human capital investments, and high growth.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009884804855,    599 ,   46 
0,Elhanan Helpman/Antonio Rangel,"Department of Economics, Harvard University, Cambridge/Tel Aviv University, and the Canadian Institute for Advanced Research, Israel/Department of Economics, Stanford University, Stanford",1999/12,Adjusting to a New Technology: Experience and Training,"How does the economy react to the arrival of a new major technology? The existing literature on general-purpose technologies (GPTs) has studied the role that mechanisms like secondary innovations, diffusion, and learning by firms play in the adjustment process. By contrast, we focus on a new mechanism: the interplay between technological change and two types of human capital—technology-specific experience and education. We show that technological change that requires more education and training, like computerization, necessarily produces an initial slowdown. On the other hand, technological change that lowers the training requirements, like the move from the artisan shop to the factory, can produce either a bust or a boom. We identify three key properties that determine the outcome: (1) the productivity of inexperienced workers, (2) the speed with which experience raises productivity, and (3) the level of general skills required to operate the new technology.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009888907797,    346 ,   41 
0,Dani Rodrik,"John F. Kennedy School of Government, Harvard University, Cambridge",1999/12,"Where Did All the Growth Go? External Shocks, Social Conflict, and Growth Collapses","This article argues that domestic social conflicts are a key to understanding why growth rates lack persistence and why so many countries have experienced a growth collapse since the mid-1970s. It emphasizes, in particular, the manner in which social conflicts interact with external shock on the one hand, and the domestic institutions of conflict-management on the other. Econometric evidence provides support for this hypothesis. Countries that experienced the sharpest drops in growth after 1975 were those with divided societies (as measured by indicators of inequality, ethnic fragmentation, and the like) and with weak institutions of conflict management (proxied by indicators of the quality of governmental institutions, rule of law, democratic rights, and social safety nets).",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009863208706,    2935 ,   490 
0,Theo S. Eicher/Stephen J. Turnovsky,"Department of Economics, University of Washington, Seattle/Department of Economics, University of Washington, Seattle",1999/12,Convergence in a Two-Sector Nonscale Growth Model,"Much of the convergence debate has focused solely on output. Recent empirical evidence suggests that crucial inputs, such as technology and capital, may exhibit markedly distinct convergence patterns. We examine the convergence characteristics of a two-sector nonscale model of growth that features population growth and endogenous technology. The model replicates key economic ratios and speeds of convergence with relative ease. Most important, however, is that capital and technology differ strikingly in their convergence paths and speeds. The nonconstancy of the convergence rates and the nonproportionality of the endogenous variables during transition suggests further refinements for the empirical tests of convergence.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009867409614,    252 ,   56 
0,Anders Sorensen,"Ministry of Trade and Industry, and Economic Policy Research Unit (EPRU), Center for Economic and Business Research (CEBR), Copenhagen, Denmark",1999/12,"R&amp;D, Learning, and Phases of Economic Growth","The role of learning and R&amp;D in economic development is addressed in an endogenous growth model. When human capital is below a threshold level, the model predicts that skills are accumulated as the only growth-generating activity, whereas both innovation activities and learning drive growth above this level. Hence, an endogenous regime shift is triggered when the level of human capital reaches the threshold level because it becomes profitable to innovate.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009871510523,    256 ,   18 
0,Robert J. Barro,"Littauer Center, Department of Economics, Harvard University, Cambridge",2000/03,Inequality and Growth in a Panel of Countries,"Evidence from a broad panel of countries shows little overall relation between income inequality and rates of growth and investment. For growth, higher inequality tends to retard growth in poor countries and encourage growth in richer places. The Kuznets curve—whereby inequality first increases and later decreases during the process of economic development—emerges as a clear empirical regularity. However, this relation does not explain the bulk of variations in inequality across countries or over time.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009850119329,    11k ,   906 
0,Alberto Alesina/David Dollar,"Department of Economics, Harvard University, Cambridge/NBER and CEPR, USA/The World Bank, Washington",2000/03,Who Gives Foreign Aid to Whom and Why?,"This paper studies the pattern of allocation of foreign aid from various donors to receiving countries. We find considerable evidence that the direction of foreign aid is dictated as much by political and strategic considerations, as by the economic needs and policy performance of the recipients. Colonial past and political alliances are major determinants of foreign aid. At the margin, however, countries that democratize receive more aid, ceteris paribus. While foreign aid flows respond to political variables, foreign direct investments are more sensitive to economic incentives, particularly “good policies” and protection of property rights in the receiving countries. We also uncover significant differences in the behavior of different donors.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009874203400,    21k ,   908 
0,Charles I. Jones/John C. Williams,"Department of Economics, Stanford University, Stanford/Federal Reserve System, Washington",2000/03,Too Much of a Good Thing? The Economics of Investment in R&amp;D,"Research and development is a key determinant of long-run productivity and welfare. A central issue is whether a decentralized economy undertakes too little or too much R&amp;D. We develop an endogenous growth model that incorporates parametrically four important distortions to R&amp;D: the surplus appropriability problem, knowledge spillovers, creative destruction, and duplication externalities. Calibrating the model, we find that the decentralized economy typically underinvests in R&amp;D relative to what is socially optimal. The only exceptions to this conclusion occur when the duplication externality is strong and the equilibrium real interest rate is simultaneously high.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009826304308,    1498 ,   211 
0,John Duffy/Chris Papageorgiou,"Department of Economics, University of Pittsburgh, Pittsburgh/Department of Economics, Louisiana State University, Baton Rouge",2000/03,A Cross-Country Empirical Investigation of the Aggregate Production Function Specification,"Many growth models assume that aggregate output is generated by a Cobb-Douglas production function. In this article we question the empirical relevance of this specification. We use a panel of 82 countries over a 28-year period to estimate a general constant-elasticity-of-substitution (CES) production function specification. We find that for the entire sample of countries we can reject the Cobb-Douglas specification. When we divide our sample of countries up into several subsamples, we find that physical capital and human capital adjusted labor are more substitutable in the richest group of countries and are less substitutable in the poorest group of countries than would be implied by a Cobb-Douglas specification.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009830421147,    1073 ,   216 
0,Antonio Spilimbergo,"International Monetary Fund, Washington",2000/06,Growth and Trade: The North Can Lose,"Several models of growth and trade concludethat a country grows more when trading with a less developedcountry. This article shows that this conclusion depends cruciallyon the assuming homothetic preferences and/or having just twogoods with respect to learning-by-doing. The article presentsa model where the more advanced country (North) can be worseoff after trading with a less developed country (South) becausethe demand pattern of the South is biased toward Northern productswith less learning-by-doing potential. Trade can worsen the welfareif the South is large with respect to the North and/or the preferencefor low-technology goods is high; necessary conditions are thatthe preferences are nonhomotheticity and that the North exportsat least two types of goods. In this context, the article studiesthe welfare of North and South, separating the static from thedynamic gains from trade.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009882419420,    214 ,   15 
0,Antonio Fatas,"INSEAD, Fontainebleau, France",2000/06,Do Business Cycles Cast Long Shadows? Short-Run Persistence and Economic Growth,"Thisarticle explores the links between cyclical fluctuations andlong-run growth in the context of an endogenous growth modelwith aggregate demand externalities. In this model, aggregatedemand and growth rates are positively correlated. In the presenceof exogenous cyclical shocks, the model is able to generate persistentfluctuations through the effects that business cycles have onaggregate demand, profits and technological progress. Persistencebecomes a measure of the response to business cycles of growth-relatedvariables. Empirical evidence from a large sample of countriessuggests that there is indeed a correlation between how persistentfluctuations are and the long-term growth rates of GDP.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009885203490,    426 ,   68 
0,Tomas Lindström,"Economics Department, Sveriges Riksbank, Stockholm, Sweden",2000/06,External Economies in Procyclical Productivity: How Important Are They?,"Using the method of Caballero and Lyons (1990,1992), I examined detailed Swedish manufacturing firm-level dataon output and factor inputs from 1979 through 1994. Panel regressionsshow that an increase in aggregate output and inputs appearsto raise individual firms' production beyond private marginalreturns, a result consistent with positive external effects fromaggregate activity. However, while considering potential specificationdifficulties, this analysis shows that a model in which high-frequencyexogenous shifts in technology drive the business cycle statisticallyoutperforms the Caballero-Lyons model. This finding suggeststhat economywide fluctuations in technology are more importantfor movements in firms' productivity than are external economies.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009837320328,    99 ,   6 
0,Josef Zweimüller,"University of Zurich, Zurich/IZA-Bonn, CEPR-London, Zurich",2000/06,Schumpeterian Entrepreneurs Meet Engel's Law: The Impact of Inequality on Innovation-Driven Growth,"This article analyzes the impactof inequality on growth when consumers have hierarchic preferencesand technical progress is driven by innovations. With hierarchicpreferences, the poor consume predominantly basic goods, whereasthe rich consume also luxury goods. Inequality has an impacton growth because it affects the level and the dynamics of aninnovator's demand. It is shown that redistribution from veryrich to very poor consumers can be beneficial for growth. Ingeneral, the growth effect depends on the nature of redistribution.Due to a demand externality from R&amp;D activities, multipleequilibria are possible.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009889321237,    977 ,   52 
0,Casey B. Mulligan/Xavier Sala-I-Martin,"The University of Chicago, USA/Department of Economics, Columbia University, New York/Universitat Pompeu Fabra, USA",2000/09,Measuring Aggregate Human Capital,"Weconstruct a set of human capital indexes for the states of theUnited States for each census year starting in 1940. To do so,we propose a new methodology for the construction of index numbersin panel data sets. Our method is based on an optimal approachby which we choose the ``best'' set of index numbers by minimizingthe expected estimation error subject to some research constraints.Some of the empirical findings are that the stock of human capitalin the United States grew twice as rapidly as the average yearsof schooling and that human capital inequality across stateswent up during the 1980s (while the dispersion of schooling actuallyfell). We conclude that using the average years of schoolingfor the empirical study of existing growth models may be misleading.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009893417085,    555 ,   34 
0,Ola Olsson,"Department of Economics, Göteborg University, Göteborg, Sweden",2000/09,Knowledge as a Set in Idea Space: An Epistemological View on Growth,"This articlepresents a model of knowledge, seen as a set of ideas definedin a multidimensional idea space. Knowledge is created throughconvex combinations of older ideas and through paradigm shifts.When normal science has made the knowledge set convex, scientificopportunity is exhausted. Individual countries are endowed withdifferent knowledge sets, which gives rise to idea gaps. Thegrowth of a country's knowledge depends on diffusion from othercountries, on own production, and on the state of its human capitaland institutions. In the long run, economic growth will dependon knowledge growth, but only paradigm shifts can save R&amp;Dfrom diminishing returns",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009829601155,    369 ,   38 
0,Paul S. Segerstrom,"Stockholm School of Economics, Stockholm, Sweden",2000/09,The Long-Run Growth Effects of R&amp;D Subsidies,"This article presents a generalized versionof Howitt's (1999) model of R&amp;D-driven growth withoutscale effects and a complete characterization of the long-rungrowth effects of R&amp;D subsidies. R&amp;D subsidiescan either promote or retard long-run economic growth, and surprisingly,the growth-retarding outcome occurs for a wide range of plausibleparameter values. This article also presents a new intuitiveexplanation for why R&amp;D subsidies can have long-rungrowth effects (both positive and negative).",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009881717993,    785 ,   64 
0,David Martimort/Thierry Verdier,"GREMAQ, Université de Pau et des Pays de l'Adour, France, and/IDEI, Toulouse, France/CEPR, London/CERAS and DELTA, Paris, France/CEPR, London",2000/12,"The Internal Organization of the Firm, Transaction Costs, and Macroeconomic Growth","This articleanalyzes the links between the internal organization of the firmand macroeconomic growth. We present a Schumpeterian growth modelin which firms face agency costs due to the existence of asymmetriesof information and the formation of vertical collusions insidethose firms. To respond to the threat of collusion, optimal collusion-proofincentive contracts depend on the efficiency of collusive sidecontracting within organizations. Collusion affects thereforethe firms' profitability, the incentives to innovate, and, finally,the stationary equilibrium growth rate of the economy. On theother hand, when the growth rate is small, the prospects of long-termrelationships within firms increase the agents' incentives toinvest in a better collusive technology. We then discuss thetwo-way relationships between the structure of internal transactioncosts, organizational technologies, and macroeconomic growth.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1026574718420,    211 ,   10 
0,Jess Benhabib/Mark M. Spiegel,"New York University/Economic Research, Federal Reserve Bank of San Francisco, San Francisco",2000/12,The Role of Financial Development in Growth and Investment,"Thisarticle decomposes the well-documented relationship between financialdevelopment and growth. We examine whether financial developmentaffects growth solely through its contribution to growth in ``primitives'' or factor accumulation rates or whether it alsohas a positive impact on total factor productivity growth. Ourresults suggest that indicators of financial development arecorrelated with both total factor productivity growth and investment.However, the indicators that are correlated with total factorproductivity growth differ from those that encourage investment.In addition, many of the results are sensitive to the inclusionof country fixed effects, which may indicate that the financialdevelopment indicators are proxying for broader country characteristics.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1026599402490,    2212 ,   172 
0,Lant Pritchett,"World Bank; Kennedy School of Government, Harvard University, Cambridge",2000/12,"The Tyranny of Concepts: CUDIE (Cumulated, Depreciated, Investment Effort) Is Not Capital","The cost of public investment is not the increment to the value ofpublic capital. Unlike with private investors, there is no plausiblebehavioral model in which every dollar that the public sectorspends as ``investment'' creates economically valuable ``capital.''While this simple analytic point is obvious, it has so far beenuniformly ignored in the empirical literature on economic growth,which uses—at best—cumulated, depreciated, investmenteffort (CUDIE) as a proxy for capital stocks. However, particularlyfor developing countries the difference between investment costand capital value is of first-order empirical importance: governmentinvestment is half of more of total investment, and calculationspresented here suggest that in many countries government investmentspending has created little useful capital. This has implicationsin three broad areas. First, none of the existing empirical estimatesof the impact of public spending has identified the productivityof public capital. Even where public capital has a potentiallylarge contribution to production, public-investment spendingmay have had a low impact. Second, it implies that all estimatesof total factor productivity in developing countries are deeplysuspect as there is no way to empirically distinguish betweenlow growth because of investments that create no factors andlow growth due to slow productivity growth. Third, multivariateregressions to date have not adequately controlled for capitalstock growth, which leads to erroneous interpretations of regressioncoefficients.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1026551519329,    384 ,   136 
0,Richard E. Baldwin/Philippe Martin/Gianmarco I. P. Ottaviano,"Institute of International Studies, Geneva, Switzerland/CERAS-ENPC, Paris/Bocconi University and CEPR, Switzerland",2001/03,"Global Income Divergence, Trade, and Industrialization: The Geography of Growth Take-Offs","This article formalizesthe theoretical interconnections among four post–industrialrevolution phenomena—the industrialization and growth take-offof rich northern nations, massive global income divergence, andrapid trade expansion. In stages-of-growth model, the four phenomenaare jointly endogenous and are triggered by falling trade costs.In the first growth stage (with high trade costs) industry isdispersed internationally, and growth is low. In the second (mediumtrade costs), the North industrializes rapidly, growth take-off,and the South diverges. In the third (low trade costs), highgrowth and global divergence become self-sustaining. In the fourthstage, when the cases of ``trading'' ideas decreases, the Southquickly industrializes and converges.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009876310544,    1620 ,   115 
0,Morgan Kelly,"Department of Economics, University College Dublin, Dublin4, Ireland",2001/03,"Linkages, Thresholds, and Development","Growth is rarehistorically, with short expansions interspersed with long periodsof stasis. We examine how well this can be explained by a generalclass of Schumpeterian growth models that treat development asa progress through a space of commodities, from simple to morecomplex goods. This process of sequential innovation in a partiallyordered network of commodities is called linkage formation. The central result of this article is thatSchumpeterian growth models exhibit generic threshold behavior.Below a critical probability of linkage formation, developmentgradually ceases. Above the critical probability, innovationcontinues with probability one.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009846027382,    186 ,   17 
0,Guido Cozzi,"Dipartimento di Economia Pubblica,Universitá di Roma ``La Sapienza,'', Cornell University, Roma, Italy",2001/03,Inventing or Spying? Implications for Growth,"An engineer graduates if shederives the obvious implications of her instructor's hints. Butthe patent system rewards only the first to present nonobviousadvancements—ideas similarly skilled engineers are notexpected to invent. If a fraction of the newly invented hintsspill over before the technological advances they entail arecompleted and granted legal protection, the R&amp;D workerswill find it convenient to spend some time searching for eachother's hints instead of creating their own. A simple modificationof the basic Schumpeterian model shows that the larger the skilledpopulation, the larger the relative incentive to spy.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1009898011453,    285 ,   19 
0,Angus Deaton/Guy Laroque,"Research Program in Development Studies, Princeton University,Wallace Hall, Princeton/INSEE, Direction des Etudes et Synthèses Economiques, Paris",2001/06,"Housing, Land Prices, and Growth","We consider the effects of land for housingon the growth process within an overlapping generations model.Our original interest was to enquire whether the introductionof land into a growth model might account for a ``virtuous''circle in which saving-up for land (or housing) generates growthand higher land prices, generating further increases in saving,and so on. Such an account is sometimes proposed for high savingrates in East Asia, where mortgage markets are limited or absent.Our analysis does not support such a story. The user cost ofland reduces the resources available for consumption of reproduciblegoods, so that the introduction of intrinsically valuable landinto a growth model lowers the equilibrium stock of capital andraises the equilibrium interest rate. On the asset side, thepresence of land causes life-cycle savings to be reallocatedaway from productive capital towards land. The social optimumin such a model is for land to be nationalized and provided atzero rent. Land markets, far from generating saving and growth,are inimical to capital formation.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1011326806631,    568 ,   22 
0,Anandi Mani,"Department of Economics, Vanderbilt University, Nashville/Economic Growth Center, Yale University, New Haven",2001/06,Income Distribution and the Demand Constraint,"This paper argues thatthe interaction between inequality and the demand patterns forgoods is a potential source of persistent inequality. Incomedistribution, in the presence of non-homothetic preferences,affects the demand for goods and, due to differences in factorintensities across sectors, it alters the return to factors ofproduction and the initial distribution of income. Low inequalityleads to high demand for medium skilled intensive goods, providinga bridge over which low skill dynasties may transition to thehigh-skilled sector in the long run. Under high inequality however,the initial lack of demand for medium skilled labor breachesthis bridge from poverty to prosperity and inequality persists.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1011326523470,    260 ,   15 
0,William Easterly,"Washington,DC",2001/06,The Lost Decades: Developing Countries' Stagnation in Spite of Policy Reform 1980–1998,"I document in this paper a puzzle thathas not received previous attention in the literature. In 1980–98,median per capita income growth in developing countries was 0.0percent, as compared to 2.5 percent in 1960–79. Yet I documentin this paper that variables that are standard in growth regressions—policieslike financial depth and real overvaluation, and initial conditionslike health, education, fertility, and infrastructure generallyimproved from 1960–79 to 1980–98. Developing countrygrowth should have increased instead of decreased according tothe standard growth regression determinants of growth. The stagnationseems to represent a disappointing outcome to the movement towardsthe ``Washington Consensus'' by developing countries. I speculatethat worldwide factors like the increase in world interest rates,the increased debt burden of developing countries, the growthslowdown in the industrial world, and skill-biased technicalchange may have contributed to the developing countries' stagnation,although I am not able to establish decisive evidence for thesehypotheses. I also document that many growth regressions aremis-specified in a way similar to the Jones (1995) critique thata stationary variable (growth) is being regressed on non-stationaryvariables like policies and initial conditions. It may be thatthe 1960–1979 period was the unusual period for LDC growth,and the 1980–98 stagnation of poor countries representsa return to the historical pattern of divergence between richand poor countries.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1011378507540,    2543 ,   216 
0,William A. Masters/Margaret S. McMillan,"Department of Agricultural Economics, Purdue University, USA/Department of Economics, Tufts University, USA",2001/09,Climate and Scale in Economic Growth,"This paper introduces new data on climatic conditions to empirical tests of growth theories. We find that, since 1960, temperate countries have converged towards high levels of income while tropical nations have converged towards various income levels associated with economic scale and the extent of the market. These results hold for a wide range of tests. A plausible explanation is that temperate regions' growth was assisted by their climate, perhaps historically for their transition out of agriculture into sectors whose productivity converges across countries, while tropical countries' growth is relatively more dependent on gains from specialization and trade.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1011398431524,    944 ,   146 
0,Carl-Johan Dalgaard/Claus Thustrup Kreiner,"University of Copenhagen, Denmark/EPRU, and CESifo, University of Copenhagen, Denmark",2001/09,Is Declining Productivity Inevitable?,"Fertility has been declining on all continents for the last couple of decades and this development is expected to continue in the future. Prevailing innovation-based growth theories imply, as a consequence of scale effects from the size of population, that such demographic changes will lead to a major slowdown in productivity growth. In this paper we challenge this pessimistic view of the future. By allowing for endogenous human capital in a basic R&amp;D driven growth model we develop a theory of scale-invariant endogenous growth according to which population growth is neither necessary nor conductive for economic growth.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1011343715594,    265 ,   54 
0,Etsuro Shioji,"Department of Economics, Yokohama National University, Hodogaya-ku, Yokohama, Japan",2001/09,Public Capital and Economic Growth: A Convergence Approach,"This paper estimates dynamic effects of public capital on output per capita. Based on an open economy growth model, I derive a version of the income convergence equation augmented with public capital. This equation is estimated using panel data of United States and Japanese regions. Sensible results are obtained when public capital is disaggregated into components. In both countries, the infrastructure component of public capital turns out to have significantly positive effects. The implied elasticity of output with respect to infrastructure is somewhere around 0.1 to 0.15. This suggests a modest contribution of infrastructure to postwar growth of the two countries.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1011395732433,    981 ,   77 
0,Pantelis Kalaitzidakis/Theofanis P. Mamuneas/Andreas Savvides/Thanasis Stengos,"University of Crete, Rethimno, Greece/University of Cyprus, Nicosia, Cyprus/University of Leicester, Leicester, UK/University of Cyprus, Nicosia, Cyprus/Oklahoma State University, Stillwater, USA/University of Guelph, Guelph, Canada",2001/09,Measures of Human Capital and Nonlinearities in Economic Growth,In this paper we study the relationship between human capital accumulation and economic growth using various measures of human capital frequently employed by researchers. We use semiparametric estimation techniques to uncover any nonlinearities that may exist. Using mean years of schooling measures of human capital we find a nonlinear effect on economic growth. There seem to be important differences in the growth effect of educational attainment by gender and level of education. Enrollment rates do not yield a nonlinear effect.,Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1011347816503,    1001 ,   96 
0,Peter Thompson,"Department of Economics, 204 McElhinney Hall, University of Houston, Houston",2001/12,The Microeconomics of an R&amp;D-Based Model of Endogenous Growth,"This paper explores the microeconomic structure underlying a class of endogenous growth models in which product differentiation and stochastic quality growth coexist. The general equilibrium model generates a stationary stochastic equilibrium in which a nondegenerate ergodic distribution of firm size depends systematically on parameters of the model. Features of the model necessary for stable endogenous aggregate growth are explored, and predictions of the model are compared with microeconometric evidence on R&amp;D intensity, firm growth, and concentration.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1012761811439,    370 ,   30 
0,Eric D. Gould/Omer Moav/Bruce A. Weinberg,"Department of Economics, Hebrew University, Jerusalem, Israel/Department of Economics, Hebrew University, Jerusalem, Israel/Department of Economics, Ohio State University, Columbus",2001/12,"Precautionary Demand for Education, Inequality, and Technological Progress","This paper offers an explanation for the evolution of wage inequality within and between industries and education groups over the past several decades. The model is based on the disproportionate depreciation of technology-specific skills versus general skills due to technological progress, which occurs randomly across sectors. Consistent with empirical evidence, the model predicts that increasing randomness is the primary source of inequality growth within uneducated workers, whereas inequality growth within educated workers is determined more by changes in the composition and return to ability. Increasing randomness generates a “precautionary” demand for education, which we show empirically to be significant.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1012782212348,    549 ,   62 
0,William Easterly,"World Bank, Denmark",2001/12,The Middle Class Consensus and Economic Development,"A middle class consensus is defined as a high share of income for the middle class and a low degree of ethnic divisons. The paper links a middle class consensus to resource endowments, along the lines of the provocative thesis of Engerman and Sokoloff (1997 and 2000). This paper exploits this association using tropical resource endowments as instruments for inequality. A higher share of income for the middle class and lower ethnic divisions are associated with higher income and higher growth, as well as with more education, better health, better infrastructure, better economic policies, less political instability, less civil war and ethnic minorities at risk, more social “modernization” and more democracy.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1012786330095,    2803 ,   306 
0,Tomas Kögel/Alexia Prskawetz,"Max Planck Institute for Demographic Research, Rostock, Germany/Max Planck Institute for Demographic Research, Rostock, Germany",2001/12,Agricultural Productivity Growth and Escape from the Malthusian Trap,"Industrialization allowed the industrialized world of today to escape from the Malthusian regime characterized by low economic and population growth and to enter the post-Malthusian regime of high economic and population growth. To explain the transition between these regimes, we construct a growth model with two consumption goods (an agricultural and a manufacturing good), endogenous fertility, and endogenous technological progress in the manufacturing sector. We show that with an exogenous increase in the growth of agricultural productivity our model is able to replicate stylized facts of the British industrial revolution. The paper concludes by illustrating that our proposed model framework can be extended to include the demographic transition, i.e., a regime in which economic growth is associated with falling fertility.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1012742531003,    1151 ,   91 
0,Wolfgang Keller,"Department of Economics, University of Texas, Austin, USA",2002/03,Trade and the Transmission of Technology,"This paper integrates earlier studies on the link of productivity and research and development (R&amp;D) in different industries of a closed economy with the more recent emphasis on R&amp;D-driven growth and international trade in open economies. In this framework, technology in the form of product designs is transmitted to other industries, both domestically as well as internationally, through trade in differentiated intermediate goods. I present empirical results based on a new industry-level data set that covers more than 65 percent of the world’s manufacturing output and most of the world’s R&amp;D expenditures between 1970 and 1991. The analysis considers productivity effects from R&amp;D in the domestic industry itself, from R&amp;D in other domestic industries, as well as in the same and other foreign industries. I estimate strong productivity effects both from own R&amp;D spending and R&amp;D conducted elsewhere. The contribution of R&amp;D in the industry itself is about 50 percent in this sample. Domestic R&amp;D in other industries is the source of 30 percent of the productivity increases, and the remaining 20 percent are due to R&amp;D expenditures in foreign industries.",Springer,Economic Growth/Macroeconomics/Monetary Economics//Financial Economics/International Economics,OriginalPaper,https://link.springer.com//article/10.1023/A%3A1013461025733,    875 ,   194 
